uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,collectDate,aopCollectDate,samplingImpractical,subplotID,sampleType,samplingMethod,sampleID,sampleCode,sampleCondition,chlorophyllSampleID,chlorophyllSampleCode,chlorophyllSampleCondition,clipCellNumber,clipID,clipLength,clipWidth,percentCoverClip,toxicodendronPossible,vstTag,tagID,individualID,taxonID,scientificName,plantStatus,canopyPosition,canopyStatus,subsample1Height,subsample2Height,subsample3Height,crownPolygonID,crownPolygonConfidence,shapefileID,collectedBy,recordedBy,remarks,dataQF
"ecac4067-d115-4374-b4fc-34759095d2d0","SJER_048.basePlot.cfc","D17","SJER","SJER_048","tower","evergreenForest","WGS84",37.110011,-119.735218,20.1,381.8,0.18,"NEON.DOC.001024vF","2019-04-01T16:37Z","2019-03-29",,,"Woody individual",,"2kN0Z0OxE8FbunuCHxxhdmtFX92gO6GPKn7GRNB0PbM=",,"OK","2kN0Z0OxE8FbunuCHxxhdmtFX92gO6GPL1QzXy7TJ+q0cPcM64zJ4g==","B00000043423","OK",,,,,,,"N","04442","NEON.PLA.D17.SJER.04442","QUWI2","Quercus wislizeni A. DC.","OK",,,2.6,,,,,,"0000-0001-7253-0439","0000-0002-2320-6648",,
"efcbbf32-43a2-4a03-9b95-6d4cc59570f3","SJER_048.basePlot.cfc","D17","SJER","SJER_048","tower","evergreenForest","WGS84",37.110011,-119.735218,20.1,381.8,0.18,"NEON.DOC.001024vF","2019-04-01T21:01Z","2019-03-29",,,"Woody individual",,"2kN0Z0OxE8EAWNsz9V0k7ht/rPnqpg87YBYVo0QVsXY=",,"OK","2kN0Z0OxE8EAWNsz9V0k7ht/rPnqpg877YTbdpu0mLoQdCaWFmrkAg==","B00000043424","OK",,,,,,,"Y","00241","NEON.PLA.D17.SJER.00241","CELE2","Ceanothus leucodermis Greene","OK",,,1.8,,,,,,"0000-0001-7253-0439","0000-0002-2320-6648",,
"5b313294-ed38-40b2-979b-3eb6b6cae6a7","SJER_048.basePlot.cfc","D17","SJER","SJER_048","tower","evergreenForest","WGS84",37.110011,-119.735218,20.1,381.8,0.18,"NEON.DOC.001024vF","2019-04-03T07:21Z","2019-03-29",,"41","Herbaceous clip strip","clippers","2kN0Z0OxE8FvZ+ZPocAGur2L3+lkxllVx54ToApkGcY=",,"OK","2kN0Z0OxE8FvZ+ZPocAGur2L3+lkxllV8KX4/7hnJXg=","B00000043420","OK",957,"SJER_048_957",2.0,0.1,100,"N",,,,,,,,,,,,,,,"0000-0002-2320-6648","0000-0002-2320-6648",,
"cd93b481-ad14-4236-b5a5-d242219b4470","SJER_009.basePlot.cfc","D17","SJER","SJER_009","distributed","grasslandHerbaceous","WGS84",37.117532,-119.738492,20.1,454.1,0.10,"NEON.DOC.001024vF","2019-04-03T14:56Z","2019-03-29",,"31","Herbaceous clip strip","clippers","2kN0Z0OxE8GTUdNsBIzfR/KftHYeEm/X9B+ZS+y2X+8=",,"OK","2kN0Z0OxE8GTUdNsBIzfR/KftHYeEm/XUZYeSzEDUhc=","B00000043493","OK",154,"SJER_009_154",2.0,0.1,75,"N",,,,,,,,,,,,,,,"0000-0001-7253-0439","0000-0002-0287-3871",,
"8caccf94-4d9f-4ec0-8719-ccee52845e31","SJER_045.basePlot.cfc","D17","SJER","SJER_045","tower","evergreenForest","WGS84",37.112827,-119.731615,20.1,412.9,0.10,"NEON.DOC.001024vF","2019-04-03T16:37Z","2019-03-29",,"39","Herbaceous clip strip","clippers","2kN0Z0OxE8Ght+vqSNjLJrxI0Xu/o1jOisirSliQcWM=",,"OK","2kN0Z0OxE8Ght+vqSNjLJrxI0Xu/o1jOSQCE9g03mQg=","B00000043421","OK",705,"SJER_045_705",2.0,0.1,100,"N",,,,,,,,,,,,,,,"0000-0002-2320-6648","0000-0002-2320-6648",,
"0aa90cde-8b45-4d97-ac24-fc96852c546e","SJER_015.basePlot.cfc","D17","SJER","SJER_015","distributed","grasslandHerbaceous","WGS84",37.081979,-119.720354,20.1,314.7,0.11,"NEON.DOC.001024vF","2019-04-03T16:58Z","2019-03-29",,,"Woody individual",,"2kN0Z0OxE8FjCRHv1/2ezDQlvpjDBOcPOL2MJlZpkVI=",,"OK","2kN0Z0OxE8FjCRHv1/2ezDQlvpjDBOcPwxvmy2nblps=","B00000043491","OK",,,,,,,"N","04441","NEON.PLA.D17.SJER.04441","QUDO","Quercus douglasii Hook. & Arn.","OK",,,1.0,,,,,,"0000-0001-7253-0439","0000-0002-0287-3871",,
"a2b12e0d-b004-4178-a9ab-265eae1d3d4e","SJER_009.basePlot.cfc","D17","SJER","SJER_009","distributed","grasslandHerbaceous","WGS84",37.117532,-119.738492,20.1,454.1,0.10,"NEON.DOC.001024vF","2019-04-03T17:02Z","2019-03-29",,,"Woody individual","clippers","2kN0Z0OxE8HnCvFue5ndWX7TBrxc1u8M6GB2cNtVo4Y=",,"OK","2kN0Z0OxE8HnCvFue5ndWX7TBrxc1u8Mff4GCc0YNJRzmI6cH1Iydw==","B00000043492","OK",,,,,,,"N","04443","NEON.PLA.D17.SJER.04443","PISA2","Pinus sabiniana Douglas ex Douglas","OK",,,1.3,,,,,,"0000-0001-7253-0439","0000-0002-0287-3871",,
"261e5b6c-1e05-490a-9b21-4fb8323c139b","SJER_046.basePlot.cfc","D17","SJER","SJER_046","tower","evergreenForest","WGS84",37.111276,-119.728168,20.1,431.8,0.16,"NEON.DOC.001024vF","2019-04-03T17:26Z","2019-03-29",,"41","Herbaceous clip strip","clippers","2kN0Z0OxE8FrgGadQFQgj0H6RFOj0PpEjxT4aQRBohM=",,"OK","2kN0Z0OxE8FrgGadQFQgj0H6RFOj0PpE+wJdEiFkfiY=","B00000043414","OK",779,"SJER_046_779",2.0,0.1,100,"N",,,,,,,,,,,,,,,"0000-0002-2320-6648","0000-0002-2320-6648",,
"6ecae05c-fd03-4d37-a68c-aa6a2f0b8f6e","SJER_015.basePlot.cfc","D17","SJER","SJER_015","distributed","grasslandHerbaceous","WGS84",37.081979,-119.720354,20.1,314.7,0.11,"NEON.DOC.001024vF","2019-04-03T17:43Z","2019-03-29",,"31","Herbaceous clip strip","clippers","2kN0Z0OxE8FERIW0ws+1VoXneT8WCPD0k9Co2qSprNI=",,"OK","2kN0Z0OxE8FERIW0ws+1VoXneT8WCPD0sUPgfpWj0hw=","B00000043482","OK",22,"SJER_015_022",2.0,0.1,78,"N",,,,,,,,,,,,,,,"0000-0001-7253-0439","0000-0002-0287-3871",,
"0419e7ef-5917-485c-956d-8692e0c40852","SJER_048.basePlot.cfc","D17","SJER","SJER_048","tower","evergreenForest","WGS84",37.110011,-119.735218,20.1,381.8,0.18,"NEON.DOC.001024vF","2019-04-03T18:38Z","2019-03-29",,"39","Herbaceous clip strip","clippers","2kN0Z0OxE8FvZ+ZPocAGunJU345aG/BSrqVeiLmDVdI=",,"OK","2kN0Z0OxE8FvZ+ZPocAGunJU345aG/BSVaSm6J0LaTI=","B00000043404","OK",702,"SJER_048_702",2.0,0.1,100,"N",,,,,,,,,,,,,,,"0000-0002-2320-6648","0000-0002-2320-6648",,
